Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.6467187500000002,0.05,1.05,0.2625,3.5
baby,0.4169642857142857,0.55,3.5,0.7,1.8
ball,0.7695312500000001,0.35,1.7,0.5666666666666667,1.6
barbecue,1.0046875,0.2,4.05,0.50625,4.55
battery,1.0823809523809522,0.25,3.05,0.5083333333333333,3.75
beak,0.7739583333333333,0.05,1.25,0.41666666666666663,1.8
bear,0.7994791666666667,0.2,1.55,0.5166666666666666,1.95
belt,1.309642857142857,0.0,0.95,0.2375,4.4
bird,1.0072395833333334,0.15,2.05,0.5125,2.75
book,1.350625,0.05,0.85,0.2833333333333333,2.65
bottle,1.0346875,0.15,1.85,0.37,3.4
box,0.8494196428571428,0.2,2.05,0.5125,2.3
boy,1.0305357142857143,0.2,1.35,0.45,2.7
butter,0.9237500000000001,0.2,2.55,0.51,3.2
cactus,1.3109375,0.05,3.15,0.525,4.5
calendar,1.279185267857143,0.05,3.2,0.4,5.45
camera,1.5361235119047618,0.1,2.45,0.4083333333333333,5.0
car,1.30234375,0.35,1.45,0.4833333333333333,1.7
chair,0.6966145833333334,0.45,3.25,0.65,1.95
chocolate,1.1230654761904761,0.2,3.85,0.48125,4.95
clock,1.2463169642857141,0.15,1.85,0.4625,2.75
clothes,0.9015997023809523,0.2,3.0,0.5,3.5
cloud,1.0500892857142856,0.0,2.6,0.52,3.15
cow,1.0283854166666664,0.15,2.1,0.7,2.2
cross,1.2651041666666667,0.05,1.6,0.4,2.95
dog,1.5316666666666667,0.1,0.6,0.2,3.65
dolphin,1.1681175595238096,0.15,2.55,0.425,4.2
door,1.4709375,0.1,1.25,0.41666666666666663,3.15
egg,1.8161458333333331,0.0,0.15,0.075,3.35
envelope,1.2440625,0.25,3.7,0.4625,5.35
eye,1.0473958333333333,0.15,1.05,0.525,2.0
fan,1.39765625,0.1,0.95,0.31666666666666665,2.4
fat,0.9034635416666668,0.15,1.7,0.5666666666666667,2.3
finger,0.889375,0.25,3.55,0.5916666666666667,2.5
fist,1.1669270833333334,0.05,1.9,0.475,3.2
fly,0.7746875,0.3,2.65,0.6625,1.8
frame,1.3042857142857143,0.05,2.05,0.41,3.75
garage,1.383159722222222,0.1,1.45,0.29,4.8
garden,1.5317708333333333,0.0,1.25,0.20833333333333334,5.15
gate,1.3870312500000002,0.0,0.95,0.2375,3.9
girl,1.5643229166666668,0.1,1.55,0.3875,3.3
hair,0.7492187499999999,0.35,2.0,0.6666666666666666,1.2
hammer,1.6958184523809525,0.05,1.7,0.33999999999999997,3.85
hand,1.3287499999999999,0.05,1.2,0.3,3.2
hot,1.2991666666666668,0.05,1.25,0.41666666666666663,2.95
house,0.7039583333333334,0.4,2.75,0.6875,2.05
iron,1.5032812500000001,0.05,1.95,0.39,3.6
key,1.7916666666666667,0.0,0.65,0.325,2.5
knee,1.6238541666666666,0.05,0.55,0.275,2.55
knife,1.121875,0.3,1.9,0.475,2.9
leather,0.5126339285714285,0.55,3.7,0.74,1.55
lock,0.8334895833333332,0.3,1.8,0.6,1.95
man,1.8169270833333333,0.05,0.5,0.16666666666666666,2.9
money,1.7354687500000001,0.1,0.8,0.2,3.65
moon,1.6555729166666666,0.05,0.95,0.31666666666666665,2.65
mother,0.7338020833333333,0.5,3.45,0.6900000000000001,1.9
motorcycle,1.347443181818182,0.1,4.1,0.3416666666666667,9.1
mushroom,1.1873958333333334,0.3,3.05,0.5083333333333333,4.1
nail,1.6160416666666666,0.1,1.15,0.2875,3.6
neck,1.6965625,0.0,0.65,0.21666666666666665,3.05
net,1.2941666666666667,0.0,0.65,0.21666666666666665,3.45
nurse,1.6061979166666667,0.0,1.45,0.3625,3.3
office,0.5142187500000001,0.55,2.85,0.7125,1.5
paper,0.8932552083333333,0.25,2.9,0.4833333333333333,3.5
pen,1.026875,0.1,1.2,0.4,2.2
phone,0.6826041666666667,0.4,2.8,0.7,1.9
picture,0.8053125,0.3,4.8,0.6,3.45
pig,1.2943229166666668,0.0,0.7,0.2333333333333333,2.8
pillow,0.7387499999999999,0.45,3.3,0.6599999999999999,2.05
plant,1.2700892857142858,0.0,1.6,0.32,3.85
push,0.5815587797619048,0.4,2.0,0.6666666666666666,2.35
rain,0.9467708333333335,0.2,2.2,0.55,2.1
ring,1.4940104166666668,0.05,0.8,0.26666666666666666,2.5
road,1.1718005952380952,0.2,2.45,0.6125,3.0
rock,1.212407879818594,0.23809523809523808,1.380952380952381,0.4603174603174603,2.5238095238095237
roof,1.038125,0.3,1.75,0.5833333333333333,2.55
scream,1.1140575396825398,0.15,2.75,0.55,3.05
shark,1.2827306547619046,0.15,1.85,0.4625,4.1
square,1.0741220238095237,0.0,2.6,0.52,2.9
stop,0.8598883928571428,0.35,2.65,0.6625,2.8
suit,1.4193601190476193,0.0,1.05,0.35,3.5
table,0.5960565476190476,0.45,4.2,0.7,2.2
tape,1.3642559523809523,0.1,1.7,0.425,3.55
tennis,1.3199999999999998,0.0,1.9,0.38,3.9
ticket,1.64,0.0,0.7,0.14,4.85
time,1.5213541666666666,0.05,1.15,0.2875,3.65
toilet,1.0065104166666667,0.35,3.6,0.6,3.3
top,0.9028645833333332,0.05,2.15,0.7166666666666667,2.9
tree,1.2473958333333335,0.25,1.6,0.5333333333333333,2.95
tunnel,1.6489583333333333,0.0,1.4,0.28,4.3
turkey,1.0535937499999999,0.3,2.7,0.54,3.15
wall,0.8960416666666667,0.15,2.1,0.7,2.3
wash,0.46640625,0.4,2.8,0.9333333333333333,1.4
washing,0.9611458333333334,0.15,3.2,0.64,2.8
watch,0.5926041666666666,0.35,3.75,0.75,1.85
well,0.8101041666666667,0.25,1.9,0.6333333333333333,1.7
window,0.6531994047619047,0.4,4.45,0.7416666666666667,2.1
wine,0.8760937500000001,0.05,2.1,0.525,2.0
woman,0.3874305555555556,0.5,4.1,0.82,1.15
wrench,1.36203125,0.1,2.45,0.4083333333333334,3.9
