Word,Dist,Dist_British,Dist_American,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.4981646825396826,1.4215419501133786,1.4584467120181406,0.047619047619047616,1.3333333333333333,0.3333333333333333,4.0476190476190474
baby,0.23993055555555554,0.2570601851851852,0.2376157407407407,0.6666666666666666,4.0,0.8,1.1666666666666667
ball,0.1125,0.0875,0.1125,0.85,2.8,0.9333333333333333,0.2
barbecue,1.0803906250000002,1.1004464285714286,1.0019965277777776,0.15,4.05,0.50625,4.7
battery,0.6296875000000001,0.5737390350877193,0.5435855263157895,0.5263157894736842,4.105263157894737,0.6842105263157895,2.1052631578947367
beak,1.1321875000000001,1.2269791666666667,1.1607291666666666,0.0,0.95,0.31666666666666665,2.55
bear,0.718452380952381,0.572420634920635,0.5827876984126984,0.14285714285714285,1.7142857142857142,0.5714285714285714,2.1904761904761907
belt,1.3372594246031746,1.2726190476190475,1.2527058531746031,0.05,1.35,0.3375,4.1
bird,1.0479166666666666,1.0213541666666666,0.9986979166666666,0.05,1.6,0.4,3.05
book,1.0522916666666666,1.0663541666666667,1.16265625,0.2,1.15,0.3833333333333333,2.7
bottle,1.1551041666666666,1.1572916666666666,0.900454260651629,0.15,1.85,0.37,3.55
box,0.7620312499999999,0.70875,0.745625,0.25,2.25,0.5625,2.1
boy,0.7901864035087719,0.6352521929824562,0.6514802631578948,0.5789473684210527,1.9473684210526316,0.6491228070175439,1.736842105263158
butter,1.17109375,0.94140625,1.0034375,0.15,2.65,0.53,3.1
cactus,1.4422902494331065,1.455274470899471,1.4427083333333333,0.047619047619047616,2.9523809523809526,0.4920634920634921,5.142857142857143
calendar,1.336328125,1.2424107142857144,1.221484375,0.05,3.4,0.425,5.6
camera,1.4180840773809522,1.4191337719298245,1.1736763784461153,0.15,2.8,0.4666666666666666,4.0
car,0.4621710526315789,0.4144736842105263,0.37006578947368424,0.7894736842105263,2.473684210526316,0.8245614035087719,0.631578947368421
chair,1.0467261904761904,1.060515873015873,1.222420634920635,0.2857142857142857,2.7142857142857144,0.5428571428571429,2.761904761904762
chocolate,1.1989087301587302,1.2177871148459385,1.3105076058201057,0.16666666666666666,3.7222222222222223,0.4652777777777778,5.166666666666667
clock,0.9946875000000001,0.96171875,1.0106249999999999,0.35,2.6,0.65,2.25
clothes,0.4989583333333334,0.6072916666666667,0.5770833333333334,0.4,4.0,0.6666666666666666,2.0
cloud,0.8831766917293232,0.9289473684210527,0.9236842105263158,0.10526315789473684,3.210526315789474,0.6421052631578948,2.8947368421052633
cow,1.083004385964912,1.056688596491228,1.083004385964912,0.10526315789473684,2.0526315789473686,0.6842105263157895,1.631578947368421
cross,0.5427083333333333,0.6043402777777778,0.5329861111111112,0.4444444444444444,3.3333333333333335,0.8333333333333334,1.6666666666666667
dog,1.3186921296296297,1.1811342592592593,1.2086805555555555,0.2222222222222222,1.0555555555555556,0.35185185185185186,3.2777777777777777
dolphin,1.1718358395989974,1.1211622807017543,1.1410557644110275,0.05263157894736842,2.3684210526315788,0.39473684210526316,3.9473684210526314
door,0.7896577380952381,0.8981398809523811,0.7698809523809523,0.2,1.55,0.5166666666666666,2.6
egg,1.6052083333333331,1.3770833333333332,1.3954687499999998,0.0,0.15,0.075,3.2
envelope,1.7291940789473683,1.596217105263158,1.5782786749069644,0.0,1.6842105263157894,0.21052631578947367,8.052631578947368
eye,0.9300595238095238,0.8809523809523809,0.8895833333333333,0.09523809523809523,1.4285714285714286,0.7142857142857143,1.7142857142857142
fan,1.4552157738095237,1.4651934523809524,1.4535416666666667,0.0,1.0,0.3333333333333333,4.1
fat,0.5931597222222222,0.6775347222222222,0.6046875,0.2,2.3,0.7666666666666666,2.0
finger,0.5729497354497355,0.48659188034188033,0.4818369708994709,0.6111111111111112,4.611111111111111,0.7685185185185186,2.1666666666666665
fist,0.6419419642857143,0.6228348214285715,0.6303348214285714,0.35,2.7,0.675,1.9
fly,0.9121162280701753,0.8434367167919801,0.8689614661654135,0.42105263157894735,2.526315789473684,0.631578947368421,2.4210526315789473
frame,0.9729724702380953,0.9262413194444445,0.9086458333333333,0.3,2.8,0.5599999999999999,3.15
garage,1.0188095238095238,1.0846875,0.9216145833333333,0.4,2.6,0.52,3.1
garden,1.3674812030075187,1.8285087719298245,1.5359649122807018,0.0,1.7894736842105263,0.29824561403508776,4.684210526315789
gate,1.247313596491228,1.0229597431077695,0.9978500939849625,0.0,1.368421052631579,0.34210526315789475,3.789473684210526
girl,1.2144791666666666,1.4079166666666665,1.2871875,0.05,1.8,0.45,2.45
hair,1.0288541666666666,0.9586979166666666,0.93421875,0.15,1.9,0.6333333333333333,1.4
hammer,1.498377976190476,1.4455803571428572,1.1667261904761905,0.15,2.2,0.44000000000000006,3.35
hand,1.2474877450980393,1.2084558823529412,1.1900735294117646,0.058823529411764705,1.588235294117647,0.39705882352941174,2.8823529411764706
hot,1.2670535714285716,1.254732142857143,1.2680654761904762,0.15,1.3,0.4333333333333333,3.5
house,0.7541071428571429,0.7541071428571429,0.7625446428571429,0.1,3.0,0.75,1.45
iron,1.4794791666666667,1.4380059523809523,1.2204017857142857,0.1,2.55,0.51,3.65
key,1.7701041666666668,1.8198958333333333,1.7411458333333332,0.0,0.55,0.275,2.5
knee,1.6723214285714285,1.7084325396825395,1.6143849206349206,0.0,0.42857142857142855,0.21428571428571427,3.1904761904761907
knife,0.7555921052631579,0.7391447368421052,0.7265350877192983,0.42105263157894735,2.6842105263157894,0.6710526315789473,1.894736842105263
leather,0.7229166666666667,0.7375,0.67375,0.1,3.0,0.6,2.5
lock,1.0231249999999998,0.9936681547619047,1.1189322916666666,0.1,1.65,0.55,2.2
man,1.178240740740741,1.1736111111111112,1.1574074074074074,0.2222222222222222,1.5,0.5,1.6666666666666667
