Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.815,0.0,0.9,0.225,3.7
baby,0.33125,0.6,4.2,0.8400000000000001,1.2
ball,0.025,0.9,2.8,0.9333333333333333,0.2
barbecue,1.24921875,0.1,2.7,0.3375,5.5
battery,0.7366443452380953,0.5,4.1,0.6833333333333333,2.4
beak,1.1491666666666667,0.0,0.9,0.3,2.3
bear,1.18875,0.1,1.0,0.3333333333333333,2.8
belt,1.043125,0.0,1.6,0.4,3.1
bird,0.8692708333333332,0.3,1.5,0.375,2.5
book,0.9572916666666668,0.3,1.4,0.4666666666666667,1.9
bottle,1.4125,0.0,1.8,0.36,3.7
box,0.7128125,0.3,2.2,0.55,2.0
boy,1.2008779761904762,0.2,1.1,0.36666666666666664,2.8
butter,1.296875,0.0,1.6,0.32,3.8
cactus,1.5552083333333333,0.0,2.3,0.38333333333333336,4.7
calendar,1.1848214285714285,0.1,3.8,0.475,5.0
camera,1.8279960317460315,0.0,2.0,0.3333333333333333,5.1
car,1.259375,0.3,1.6,0.5333333333333333,1.7
chair,0.8513541666666665,0.3,3.2,0.64,2.2
chocolate,0.8851190476190476,0.4,4.7,0.5875,4.0
clock,0.8140625,0.4,2.7,0.675,2.1
clothes,0.79375,0.3,3.6,0.6,2.5
cloud,0.887142857142857,0.2,3.1,0.62,2.4
cow,1.4031249999999997,0.0,1.6,0.5333333333333333,2.0
cross,0.9163541666666667,0.5,2.7,0.675,2.2
dog,1.3647916666666666,0.2,1.0,0.3333333333333333,2.9
dolphin,1.1958333333333333,0.0,1.7,0.2833333333333333,4.4
door,0.8791666666666668,0.2,1.4,0.4666666666666666,2.6
egg,1.83125,0.0,0.1,0.05,3.0
envelope,1.6665625,0.0,2.5,0.3125,7.4
eye,0.696875,0.2,1.8,0.9,1.0
fan,1.3189583333333332,0.0,1.2,0.4,3.6
fat,0.5594791666666666,0.3,2.3,0.7666666666666666,1.4
finger,0.8848437499999999,0.2,4.0,0.6666666666666667,2.9
fist,0.5060416666666667,0.4,3.2,0.8,1.8
fly,0.7837500000000001,0.2,2.6,0.65,2.1
frame,0.5775,0.5,3.7,0.74,1.5
garage,1.7530208333333335,0.0,1.0,0.2,4.7
garden,1.640625,0.0,1.3,0.21666666666666665,5.3
gate,1.4897767857142856,0.0,1.3,0.325,3.5
girl,1.3613541666666666,0.0,1.1,0.275,3.3
hair,1.1788541666666665,0.3,1.5,0.5,2.5
hammer,1.2613541666666666,0.2,2.1,0.42000000000000004,3.4
hand,1.2953125,0.2,1.3,0.325,2.9
hot,0.9615625,0.1,1.5,0.5,2.7
house,0.8640625,0.1,2.6,0.65,1.9
iron,2.003125,0.0,0.9,0.18,4.6
key,1.6041666666666665,0.1,0.6,0.3,2.0
knee,1.353125,0.1,0.8,0.4,2.6
knife,1.1199999999999999,0.3,1.9,0.475,2.8
leather,1.0395833333333333,0.1,2.3,0.45999999999999996,3.2
lock,1.2454166666666666,0.0,1.5,0.5,2.3
man,1.3453125,0.1,0.9,0.3,2.2
money,0.936875,0.3,2.2,0.55,2.1
moon,1.2494791666666665,0.1,1.5,0.5,1.8
mother,0.42874999999999996,0.7,3.9,0.78,1.2
motorcycle,1.63125,0.0,4.1,0.3416666666666667,9.8
mushroom,0.7354166666666667,0.5,4.2,0.7,2.8
nail,1.6053125000000001,0.0,1.1,0.275,4.0
neck,1.7210416666666668,0.0,0.6,0.2,3.9
net,1.4188541666666667,0.0,1.4,0.4666666666666666,3.9
nurse,1.7736458333333331,0.0,1.1,0.275,3.6
office,0.3225,0.7,3.3,0.825,1.6
paper,0.72,0.6,3.8,0.6333333333333333,2.3
pen,1.2129166666666666,0.0,0.9,0.3,3.0
phone,0.45625,0.7,3.4,0.85,0.7
picture,1.48,0.1,2.7,0.3375,5.4
pig,1.1072916666666668,0.0,0.9,0.3,2.5
pillow,0.52625,0.4,3.7,0.74,1.4
plant,1.1160714285714286,0.0,2.1,0.42000000000000004,3.4
push,0.4309374999999999,0.4,1.9,0.6333333333333333,1.8
rain,1.2036458333333333,0.1,1.9,0.475,2.9
ring,1.7020833333333336,0.0,0.5,0.16666666666666666,3.8
road,1.2878125,0.0,1.9,0.475,2.9
rock,1.8460069444444447,0.0,0.7,0.2333333333333333,3.4
roof,1.1899479166666667,0.0,1.5,0.5,2.9
scream,1.3464285714285715,0.1,2.4,0.48,4.2
shark,1.5715625,0.0,1.8,0.45,5.1
square,0.67375,0.3,3.4,0.6799999999999999,1.8
stop,0.7279761904761904,0.2,2.5,0.625,2.6
suit,1.3182291666666668,0.0,2.0,0.6666666666666666,3.3
table,0.8214285714285715,0.2,3.3,0.55,3.2
tape,0.7546875,0.4,2.6,0.65,1.8
tennis,1.2041666666666668,0.1,2.5,0.5,3.6
ticket,1.50125,0.0,1.2,0.24,4.4
time,0.3890625,0.7,3.1,0.775,1.0
toilet,0.8458333333333334,0.4,3.4,0.5666666666666667,3.1
top,0.8558333333333333,0.0,2.2,0.7333333333333333,3.2
tree,0.7337499999999999,0.4,2.3,0.7666666666666666,2.1
tunnel,1.4070833333333332,0.0,1.7,0.33999999999999997,4.4
turkey,1.1084375,0.1,2.3,0.45999999999999996,3.0
wall,0.20833333333333337,0.8181818181818182,2.6363636363636362,0.8787878787878788,0.45454545454545453
