Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.3521354166666666,0.05,1.55,0.3875,3.8
baby,0.13055555555555554,0.85,4.7,0.9400000000000001,0.65
ball,0.6234375,0.45,2.15,0.7166666666666667,1.3
barbecue,0.407421875,0.15,6.4,0.8,1.85
battery,0.7644903273809524,0.25,3.75,0.625,3.3
beak,0.8240624999999999,0.0,1.2,0.4,2.6
bear,0.9613020833333333,0.2,1.6,0.5333333333333333,1.75
belt,1.2536235119047618,0.0,1.05,0.2625,4.45
bird,0.7689583333333333,0.3,2.4,0.6,1.85
book,0.5373958333333333,0.55,2.1,0.7,1.3
bottle,0.8976488095238094,0.15,2.65,0.53,3.05
box,1.0035416666666666,0.05,1.85,0.4625,2.6
boy,0.64765625,0.45,1.85,0.6166666666666666,1.7
butter,0.6227626357560568,0.21052631578947367,3.4210526315789473,0.6842105263157895,2.473684210526316
cactus,1.2753720238095236,0.1,3.35,0.5583333333333333,3.75
calendar,0.9501674107142858,0.1,4.4,0.55,4.15
camera,0.7289322916666666,0.55,4.1,0.6833333333333333,2.25
car,0.6588541666666667,0.55,2.3,0.7666666666666666,0.95
chair,0.4929166666666666,0.55,3.7,0.74,1.55
chocolate,1.3182291666666666,0.15,3.1,0.3875,5.5
clock,1.12671875,0.3,2.1,0.525,2.3
clothes,0.5880208333333333,0.3,3.8,0.6333333333333333,2.25
cloud,0.5081249999999999,0.25,3.85,0.77,1.4
cow,0.4286458333333333,0.65,2.6,0.8666666666666666,0.8
cross,1.1394791666666666,0.1,1.45,0.3625,3.3
dog,1.1326041666666666,0.15,1.1,0.36666666666666664,3.25
dolphin,1.4833333333333334,0.1,1.9,0.31666666666666665,4.85
door,0.9837053571428571,0.2,2.1,0.7,1.95
egg,1.5447916666666666,0.1,0.6,0.3,2.85
envelope,1.0022135416666667,0.4,4.3,0.5375,4.75
eye,0.67625,0.25,1.7,0.85,1.3
fan,0.7036458333333332,0.45,2.0,0.6666666666666666,1.2
fat,0.43135416666666665,0.45,2.45,0.8166666666666667,1.15
finger,0.92875,0.25,3.7,0.6166666666666667,2.65
fist,0.7267708333333334,0.25,2.65,0.6625,2.1
fly,0.4390625,0.65,3.35,0.8375,1.1
frame,0.30660714285714286,0.8,4.35,0.8699999999999999,0.9
garage,0.5954241071428571,0.65,3.6,0.72,2.2
garden,1.2973958333333333,0.05,1.4,0.23333333333333334,5.1
gate,1.3426562499999999,0.0,0.9,0.225,3.65
girl,2.0401041666666666,0.0,0.85,0.2125,3.35
hair,0.7541666666666667,0.35,1.95,0.65,1.1
hammer,0.92515625,0.3,3.1,0.62,2.05
hand,0.9953125,0.3,1.8,0.45,2.2
hot,0.9467187499999999,0.25,1.45,0.4833333333333333,2.15
house,0.5701041666666666,0.45,2.85,0.7125,1.7
iron,1.2980729166666667,0.1,2.3,0.4600000000000001,3.25
key,1.29375,0.15,0.75,0.375,2.2
knee,1.5651041666666665,0.0,0.55,0.275,2.9
knife,0.6688541666666666,0.55,2.9,0.725,1.65
leather,0.5013541666666667,0.55,4.1,0.82,1.35
lock,0.7614062500000001,0.35,2.25,0.75,1.4
man,1.0479166666666668,0.25,1.55,0.5166666666666666,1.85
money,0.7377976190476191,0.45,2.55,0.6375,2.0
moon,1.7865625,0.0,0.8,0.26666666666666666,2.65
mother,0.585,0.45,3.7,0.74,1.7
motorcycle,1.3696172248803828,0.05263157894736842,4.421052631578948,0.3684210526315789,8.789473684210526
