Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.3502604166666665,0.0,1.55,0.3875,4.35
baby,0.5541666666666667,0.35,3.15,0.63,2.55
ball,0.49140625,0.3,1.7,0.5666666666666667,1.35
barbecue,0.9177631578947368,0.3684210526315789,4.526315789473684,0.5657894736842105,4.2105263157894735
battery,1.1003658234126985,0.15,3.0,0.5,4.6
beak,0.9229166666666666,0.0,1.1,0.36666666666666664,1.95
bear,0.6942708333333334,0.15,1.2,0.4,2.0
belt,1.0064508928571427,0.0,1.55,0.3875,3.25
bird,0.7265625,0.35,2.3,0.575,1.85
book,0.9223437499999999,0.3,1.45,0.4833333333333333,1.8
bottle,0.9679166666666668,0.2,2.35,0.47000000000000003,3.15
box,1.00484375,0.1,1.4,0.35,2.7
boy,0.7215625,0.35,1.75,0.5833333333333333,2.1
butter,0.8753571428571428,0.2,2.8,0.5599999999999999,3.1
cactus,1.4032986111111112,0.0,3.05,0.5083333333333333,4.95
calendar,1.3146205357142855,0.05,3.0,0.375,6.0
camera,1.4629129464285715,0.05,2.5,0.4166666666666667,4.6
car,0.9088541666666667,0.5,1.75,0.5833333333333333,1.75
chair,0.566875,0.4,3.4,0.6799999999999999,2.0
chocolate,1.1572916666666668,0.25,3.85,0.48125,5.0
clock,1.22890625,0.2,1.9,0.475,2.65
clothes,0.9786458333333332,0.05,2.6,0.4333333333333333,3.45
cloud,0.775,0.2,3.25,0.65,2.25
cow,0.7266145833333333,0.45,2.25,0.75,1.25
cross,1.4678125,0.0,1.4,0.35,3.7
dog,1.2120833333333334,0.05,0.5,0.16666666666666666,3.25
dolphin,1.1278645833333334,0.15,2.6,0.4333333333333333,4.05
door,1.0433333333333334,0.2,1.35,0.45,2.4
egg,1.6983333333333335,0.05,0.45,0.225,2.7
envelope,1.5066840277777778,0.05,2.4,0.3,6.25
eye,0.9598958333333332,0.1,1.35,0.675,1.8
fan,1.1671354166666668,0.1,1.3,0.4333333333333333,2.75
fat,0.7752752976190476,0.1,1.75,0.5833333333333333,2.45
finger,1.3863541666666666,0.0,2.15,0.35833333333333334,4.0
fist,0.9308505639097744,0.05263157894736842,1.8421052631578947,0.4605263157894737,3.0526315789473686
fly,0.7403645833333334,0.4,2.95,0.7375,1.95
frame,1.0396874999999999,0.3,2.65,0.53,2.75
garage,1.6901364087301587,0.1,1.6,0.32,5.5
garden,1.4666666666666666,0.0,0.8,0.13333333333333336,5.35
gate,1.102796052631579,0.0,1.5263157894736843,0.3815789473684211,3.1052631578947367
girl,1.9409375,0.0,1.0,0.25,3.95
hair,1.0984375,0.3,1.7,0.5666666666666667,1.45
hammer,1.6574479166666667,0.1,1.65,0.33,3.75
hand,1.2903125,0.15,1.4,0.35,2.95
hot,0.69765625,0.45,1.95,0.65,1.75
house,0.7061383928571429,0.4,2.6,0.65,1.95
iron,1.30125,0.2,2.35,0.47000000000000003,3.2
