Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.0211458333333332,0.1,2.4,0.6,3.6
baby,0.649077380952381,0.5,3.5,0.7,2.7
ball,0.7541666666666667,0.0,0.9,0.3,2.1
barbecue,0.97109375,0.3,4.4,0.55,4.3
battery,1.2364384920634919,0.0,2.2,0.36666666666666664,5.2
beak,0.7833333333333333,0.0,1.3,0.4333333333333333,1.7
bear,1.4526041666666667,0.0,0.6,0.2,2.5
belt,1.1871874999999998,0.0,1.5,0.375,3.8
bird,1.0301041666666666,0.1,1.6,0.4,2.6
book,1.2046875,0.1,1.1,0.36666666666666664,2.7
bottle,1.3737499999999998,0.0,0.8,0.16,4.6
box,1.14375,0.1,1.5,0.375,2.9
boy,0.6078125,0.4,2.0,0.6666666666666666,2.3
butter,1.165659722222222,0.1,2.0,0.4,4.2
cactus,1.040922619047619,0.2,3.5,0.5833333333333333,3.4
calendar,1.449297664141414,0.0,3.3,0.4125,6.8
camera,1.00515625,0.4,3.6,0.6,3.4
car,1.3063541666666667,0.2,1.6,0.5333333333333333,2.3
chair,1.3203125,0.2,2.2,0.44000000000000006,3.2
chocolate,1.4092261904761905,0.0,3.3,0.4125,6.3
clock,1.146875,0.2,2.3,0.575,2.4
clothes,0.738095238095238,0.3,4.0,0.6666666666666666,3.2
cloud,0.9098511904761905,0.0,2.9,0.5800000000000001,2.8
cow,0.7401041666666666,0.4,2.4,0.8,1.0
cross,0.921875,0.4,2.5,0.625,2.0
dog,1.4953125,0.0,0.5,0.16666666666666666,5.0
dolphin,1.4873511904761905,0.0,2.0,0.3333333333333333,5.9
door,0.9981249999999999,0.1,1.6,0.5333333333333333,2.3
egg,0.9864583333333334,0.3,0.7,0.35,2.0
envelope,0.92578125,0.4,4.9,0.6125,4.6
eye,1.2669642857142858,0.0,1.1,0.55,3.1
fan,0.9484375,0.1,1.8,0.6,1.5
fat,0.5943303571428571,0.0,2.6,0.8666666666666666,2.0
finger,1.3717261904761906,0.3,2.7,0.45,3.6
fist,0.7125,0.2,2.6,0.65,2.2
fly,0.33625,0.6,3.7,0.925,0.9
frame,0.2149107142857143,0.7,4.8,0.96,0.5
garage,1.9068005952380953,0.0,1.5,0.3,6.8
garden,1.5270833333333331,0.0,1.7,0.2833333333333333,4.9
gate,1.7237500000000001,0.0,0.8,0.2,3.7
girl,2.0127083333333333,0.0,1.5,0.375,4.0
hair,1.6109375,0.1,0.8,0.26666666666666666,2.3
hammer,1.370625,0.2,2.1,0.42000000000000004,3.0
hand,1.4949999999999999,0.0,1.2,0.3,3.8
hot,0.9520833333333332,0.2,1.7,0.5666666666666667,2.7
house,0.7056250000000001,0.3,2.6,0.65,1.8
iron,1.8409375000000001,0.0,1.0,0.2,4.5
key,1.5791666666666666,0.0,1.2,0.6,2.0
knee,1.0314583333333331,0.3,1.1,0.55,2.5
knife,1.074375,0.0,1.3,0.325,3.1
leather,0.24125000000000002,0.5,4.3,0.86,0.9
lock,1.3,0.0,1.7,0.5666666666666667,2.1
man,1.0733333333333333,0.1,1.8,0.6,1.4
money,1.2722916666666666,0.2,1.5,0.375,3.5
moon,1.5301041666666664,0.0,0.9,0.3,2.6
mother,0.7286458333333333,0.5,2.7,0.54,2.6
motorcycle,1.325,0.1,4.5,0.375,8.4
mushroom,0.33675595238095235,0.8,5.1,0.85,1.2
nail,2.0890625,0.0,0.6,0.15,3.9
neck,1.4793749999999999,0.0,0.9,0.3,4.0
net,1.1536458333333333,0.1,1.0,0.3333333333333333,3.9
nurse,1.3091666666666666,0.1,2.2,0.55,2.1
office,0.7587499999999998,0.3,2.9,0.725,3.5
paper,1.1844270833333332,0.2,2.7,0.45,4.6
pen,1.153720238095238,0.0,1.3,0.4333333333333333,3.5
phone,0.445,0.6,3.4,0.85,1.2
picture,1.3338690476190478,0.2,3.5,0.4375,5.1
pig,1.3369791666666666,0.0,1.2,0.4,2.5
pillow,0.265,0.7,4.3,0.86,0.7
plant,1.1892708333333333,0.0,1.6,0.32,4.6
push,0.2119791666666667,0.7,2.5,0.8333333333333334,1.0
rain,0.7873958333333334,0.3,2.6,0.65,2.0
ring,1.2551041666666667,0.1,1.1,0.36666666666666664,2.8
road,0.9603125,0.2,2.6,0.65,2.2
rock,0.8421875,0.2,1.8,0.6,1.8
roof,0.05,0.9,2.9,0.9666666666666666,0.1
scream,0.754375,0.2,3.4,0.6799999999999999,2.4
shark,1.284375,0.1,1.8,0.45,3.1
square,1.2775,0.0,2.1,0.42000000000000004,3.2
stop,0.4171875,0.5,3.2,0.8,1.0
suit,0.624375,0.1,1.9,0.6333333333333333,2.1
table,0.978125,0.3,2.8,0.4666666666666666,3.8
tape,1.3766666666666667,0.0,1.5,0.375,4.5
tennis,1.1366369047619047,0.1,3.0,0.6,3.4
ticket,1.2930357142857145,0.0,2.6,0.52,5.3
time,1.113125,0.2,1.8,0.45,3.1
toilet,0.6305803571428571,0.4,4.5,0.75,2.7
top,0.7203125,0.0,2.4,0.8,2.4
tree,0.3990625,0.5,2.3,0.7666666666666667,1.6
tunnel,1.6800000000000002,0.0,1.2,0.24000000000000005,4.4
turkey,1.0963541666666665,0.0,1.7,0.34,3.9
wall,0.7554166666666667,0.1,2.1,0.7,2.3
wash,0.3671875,0.4,2.8,0.9333333333333333,1.4
washing,0.6075,0.4,3.7,0.74,2.0
watch,0.4875,0.3,3.4,0.6799999999999999,1.8
well,0.7328125,0.1,2.0,0.6666666666666666,2.1
window,0.17872023809523804,0.8,5.5,0.9166666666666666,0.6
wine,1.5447916666666666,0.0,1.7,0.425,3.7
woman,0.40365079365079365,0.6,4.3,0.86,2.0
wrench,0.559375,0.4,4.8,0.8,2.1
