Word,Dist,Dist_American,Dist_British,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.1344642857142857,1.086547619047619,1.0923809523809522,0.2,1.8,0.45,3.7
baby,0.20282738095238098,0.20282738095238098,0.20997023809523813,0.8,4.6,0.9199999999999999,0.8
ball,0.8786458333333332,0.6328125,0.7666666666666666,0.2,1.6,0.5333333333333333,1.5
barbecue,0.66953125,0.5963541666666666,0.6249999999999999,0.0,4.8,0.6,3.3
battery,1.0391666666666666,0.9575892857142858,1.0127976190476191,0.0,3.0,0.5,4.8
beak,0.8375,0.8375,0.85,0.0,1.5,0.5,1.7
bear,0.96484375,0.84921875,0.86015625,0.1,1.35,0.45,1.7
belt,0.9275297619047618,0.9319805194805194,0.956845238095238,0.18181818181818182,1.6818181818181819,0.42045454545454547,3.090909090909091
bird,1.0630208333333333,0.759375,0.7234375000000001,0.3,2.0,0.5,2.2
book,0.45833333333333337,0.5078125,0.509375,0.6,2.2,0.7333333333333333,0.9
bottle,1.11875,1.09625,0.9625,0.2,1.6,0.32,3.4
box,0.6930803571428571,0.6993303571428571,0.6265625,0.3,2.2,0.55,2.1
boy,0.6142992424242424,0.4612689393939394,0.45861742424242424,0.5,1.9545454545454546,0.6515151515151515,2.0
butter,0.8994494047619046,0.7883258928571427,0.8006696428571429,0.3,2.7,0.54,3.4
cactus,0.7858630952380953,0.7691964285714287,0.8327380952380953,0.2,4.5,0.75,3.2
calendar,1.3053125,1.0939621913580249,1.319890873015873,0.0,3.6,0.45,5.6
camera,1.155357142857143,1.109077380952381,1.1104166666666668,0.3,3.6,0.6,2.8
car,1.1942410714285714,1.230357142857143,1.287202380952381,0.3,1.6,0.5333333333333333,2.3
chair,0.2958333333333333,0.4,0.3875,0.6,4.2,0.8400000000000001,0.8
chocolate,0.5941964285714286,0.6608035714285714,0.6260416666666667,0.6,6.1,0.7625,2.3
clock,0.6958333333333334,0.6605811403508772,0.6197916666666667,0.5,2.95,0.7375,1.6
clothes,0.16435185185185183,0.16435185185185183,0.16435185185185183,0.6666666666666666,5.444444444444445,0.9074074074074073,0.7777777777777778
cloud,0.58875,0.604375,0.6018749999999999,0.05,3.7,0.74,1.35
cow,1.0542708333333333,1.0542708333333333,1.0542708333333333,0.1,2.2,0.7333333333333333,1.4
cross,0.6896875,0.6703125,0.5796875,0.5,2.8,0.7,1.6
dog,0.9871031746031746,1.2314484126984127,1.056547619047619,0.23809523809523808,1.1904761904761905,0.39682539682539675,2.9047619047619047
dolphin,0.9436059145880574,0.928051776266062,0.9172099395313682,0.38095238095238093,3.857142857142857,0.6428571428571429,3.619047619047619
door,0.9822916666666666,0.6458333333333333,0.6708333333333334,0.3,1.5,0.5,1.8
egg,1.2375,1.1276041666666667,1.1153645833333334,0.15,0.55,0.275,2.65
envelope,1.3660590277777778,1.2936631944444446,1.3000868055555554,0.1,2.9,0.3625,6.4
eye,0.8685416666666667,0.8222916666666666,0.8297916666666666,0.1,1.6,0.8,2.2
fan,1.0197916666666667,0.9313541666666666,0.9677083333333332,0.0,1.5,0.5,2.0
fat,0.378125,0.378125,0.409375,0.4,2.3,0.7666666666666667,1.3
finger,0.97,0.6810416666666667,0.74125,0.2,3.8,0.6333333333333334,2.4
fist,0.7088541666666667,0.6713541666666667,0.7276041666666667,0.1,2.3,0.575,2.3
fly,0.1724837662337662,0.1789772727272727,0.1716720779220779,0.7727272727272727,3.9545454545454546,0.9886363636363636,0.6818181818181818
frame,0.5009375,0.4559375,0.456875,0.5,3.85,0.77,1.35
garage,1.4357291666666667,1.3640625,1.3595238095238096,0.2,2.4,0.48,4.8
garden,0.8286458333333332,0.9644940476190476,1.0546875,0.3,3.1,0.5166666666666667,3.5
gate,0.9729166666666668,0.865625,0.8822916666666666,0.1,1.8,0.45,2.4
girl,1.8434895833333336,1.6577083333333333,1.6104166666666668,0.0,1.6,0.4,3.7
hair,0.8755208333333332,0.8223958333333332,0.8567708333333333,0.3,1.9,0.6333333333333333,1.2
hammer,1.19375,0.8250000000000001,1.0430921052631579,0.2,2.15,0.43,2.95
hand,0.996875,0.96875,0.990625,0.1,1.9,0.475,2.5
hot,0.7875,0.7840625,0.6296875,0.3,1.6,0.5333333333333333,2.1
house,0.3807291666666667,0.4121428571428572,0.3807291666666667,0.6,3.2,0.8,1.35
iron,1.4,1.386875,1.3182291666666666,0.0,2.0,0.4,3.7
