Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
attic,1.74859375,0.0,0.95,0.2375,3.7
baby,0.7257291666666666,0.4,2.45,0.49000000000000005,2.8
ball,1.1336458333333332,0.1,1.25,0.41666666666666663,3.45
barbecue,1.4445746527777779,0.0,2.5,0.3125,6.85
battery,0.8480505952380952,0.35,3.45,0.575,2.85
beak,1.3294270833333335,0.0,0.8,0.26666666666666666,2.8
bear,0.9894270833333334,0.15,1.3,0.4333333333333333,2.35
belt,1.2618675595238096,0.0,1.0,0.25,4.05
bird,1.5014880952380951,0.05,1.15,0.2875,3.45
book,1.0789583333333332,0.2,1.15,0.3833333333333333,2.65
bottle,1.2175,0.0,1.6,0.32,3.8
box,0.9876041666666666,0.2,1.7,0.425,2.8
boy,1.244375,0.15,1.25,0.4166666666666667,3.05
butter,1.1577604166666666,0.15,1.95,0.39,3.35
cactus,1.3265625,0.0,2.15,0.35833333333333334,4.75
calendar,1.3834821428571429,0.0,1.35,0.16875,6.85
camera,1.5377232142857142,0.0,2.3,0.3833333333333333,5.05
car,1.49140625,0.3,1.3,0.4333333333333333,2.05
chair,0.8827604166666665,0.3,3.1,0.62,2.35
chocolate,1.308705357142857,0.15,3.2,0.4,5.4
clock,1.37484375,0.0,1.8,0.45,3.45
clothes,1.2402777777777776,0.05,1.75,0.29166666666666663,4.6
cloud,1.1335132575757574,0.0,2.6,0.52,3.7
cow,0.8943229166666665,0.25,2.2,0.7333333333333333,2.05
cross,1.4844791666666668,0.05,0.95,0.2375,4.2
dog,1.3205729166666667,0.2,0.85,0.2833333333333333,2.6
dolphin,1.4489583333333333,0.0,1.45,0.2416666666666667,5.2
door,1.4948958333333333,0.05,0.75,0.25,3.45
egg,1.4427083333333333,0.15,0.35,0.175,2.7
envelope,1.246328125,0.2,3.15,0.39375,5.9
eye,1.3413541666666666,0.0,0.9,0.45,2.5
fan,1.2257217261904763,0.05,1.2,0.4,4.1
fat,0.6324479166666667,0.15,2.0,0.6666666666666667,1.9
finger,0.7288541666666666,0.35,4.05,0.675,2.1
fist,0.8177604166666667,0.15,2.55,0.6375,2.25
fly,0.9047916666666668,0.25,2.4,0.6,2.25
frame,1.0907440476190475,0.25,2.9,0.58,3.45
garage,1.4016145833333333,0.1,1.55,0.31,4.4
garden,1.6964285714285716,0.0,1.1,0.18333333333333335,5.4
gate,1.25,0.0,1.15,0.2875,3.45
girl,1.7827864583333333,0.0,1.0,0.25,4.4
hair,1.0246354166666667,0.2,1.7,0.5666666666666667,2.05
hammer,1.35421875,0.15,2.1,0.42000000000000004,3.0
hand,1.0228125000000001,0.05,1.5,0.375,2.75
hot,1.1229427083333332,0.2,1.45,0.4833333333333333,2.6
house,0.25703125,0.7,3.4,0.85,0.75
iron,1.4053497023809522,0.1,2.25,0.45,3.5
key,1.2232291666666666,0.2,1.0,0.5,1.9
