,Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,Length,Freq_HAL,Log_Freq_HAL,Ortho_N,Phono_N,Age_Of_Acquisition,NPhon,IPA,phonemes,isFront,isRound,lowerLipTuck,protrusion,labialClosure,mouthNarrowing,lipRounding,infoCount_total,infoPercent_total,infoCount_phoneme,infoPercent_phoneme,infoCount_viseme,infoPercent_viseme
0,CD,1.282570084485407,0.0,1.5483870967741935,0.3870967741935484,3.838709677419355,,,,,,,,sidi,"['s', 'i', 'd', 'i']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
1,T-shirt,0.7990758145363409,0.0526315789473684,4.684210526315789,0.669172932330827,3.736842105263158,,,,,,,,ti-ʃɹ̩t,"['t', 'i', 'ʃ', 'ɹ̩', 't']",False,False,False,True,False,False,False,1,0.2,0,0.0,1,0.2
2,able,1.030654761904762,0.2,2.5,0.5,3.5,4.0,176528.0,12.081,3.0,3.0,7.79,3.0,ejbəl,"['e', 'j', 'b', 'ə', 'l']",True,False,False,False,True,False,True,2,0.4,1,0.2,2,0.4
3,absolutely,0.7949305555555555,0.4,5.8,0.6444444444444445,4.4,10.0,36965.0,10.518,0.0,0.0,7.085,9.0,æbsəlutli,"['æ', 'b', 's', 'ə', 'l', 'u', 't', 'l', 'i']",True,True,False,False,True,False,False,2,0.2222222222222222,2,0.2222222222222222,1,0.1111111111111111
4,abuse,0.8165787337662337,0.2727272727272727,3.4545454545454546,0.6909090909090909,2.8181818181818183,5.0,25915.0,10.163,2.0,2.0,8.61,5.0,əbjus,"['ə', 'b', 'j', 'u', 's']",True,True,False,False,True,False,True,3,0.6,2,0.4,2,0.4
5,acacia,1.5539772727272727,0.0,2.0,0.3333333333333333,5.818181818181818,6.0,213.0,5.361,1.0,0.0,14.25,5.0,əkejʃə,"['ə', 'k', 'e', 'j', 'ʃ', 'ə']",False,False,False,True,False,False,True,2,0.3333333333333333,0,0.0,2,0.3333333333333333
6,access,0.920654761904762,0.2,3.3,0.6599999999999999,4.1,6.0,172256.0,12.057,0.0,3.0,9.1,5.0,æksɛs,"['æ', 'k', 's', 'ɛ', 's']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
7,accidentally,1.1806818181818182,0.0,4.7,0.4272727272727272,8.0,12.0,4432.0,8.397,0.0,0.0,#,10.0,æksədɛntəli,"['æ', 'k', 's', 'ə', 'd', 'ɛ', 'n', 't', 'ə', 'l', 'i']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
8,accord,1.456845238095238,0.0,1.9,0.38,4.4,6.0,3524.0,8.167,0.0,5.0,9.65,5.0,əkɔɹd,"['ə', 'k', 'ɔ', 'ɹ', 'd']",False,True,False,False,False,False,False,1,0.2,1,0.2,0,0.0
9,accordion,1.5333059210526316,0.0,2.421052631578948,0.3026315789473684,6.473684210526316,9.0,590.0,6.38,0.0,0.0,8.61,8.0,əkɔɹdiən,"['ə', 'k', 'ɔ', 'ɹ', 'd', 'i', 'ə', 'n']",False,True,False,False,False,False,False,1,0.125,1,0.125,0,0.0
