Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
CD,1.0879166666666666,0.0,1.9,0.475,3.8,-1.0879166666666666
able,1.030654761904762,0.2,2.5,0.5,3.5,-1.030654761904762
absolutely,0.7949305555555555,0.4,5.8,0.6444444444444445,4.4,-0.7949305555555555
abuse,0.8165787337662337,0.2727272727272727,3.4545454545454546,0.6909090909090909,2.8181818181818183,-0.8165787337662337
acacia,1.5539772727272727,0.0,2.0,0.3333333333333333,5.818181818181818,-1.5539772727272727
access,0.9206547619047619,0.2,3.3,0.6599999999999999,4.1,-0.9206547619047619
accidentally,1.1806818181818182,0.0,4.7,0.42727272727272725,8.0,-1.1806818181818182
accord,1.456845238095238,0.0,1.9,0.38,4.4,-1.456845238095238
acid,1.4341071428571428,0.0,1.5,0.375,4.4,-1.4341071428571428
acoustic,1.24624281968032,0.09090909090909091,4.090909090909091,0.5844155844155844,5.454545454545454,-1.24624281968032
acquire,1.0708333333333333,0.0,3.85,0.5499999999999999,3.25,-1.0708333333333333
actually,1.27890625,0.15,4.45,0.445,6.45,-1.27890625
acupuncture,1.6143750000000001,0.1,4.6,0.35384615384615387,10.0,-1.6143750000000001
adaption,0.9420657467532467,0.09090909090909091,4.2727272727272725,0.6103896103896104,5.181818181818182,-0.9420657467532467
adaptive,1.352857142857143,0.1,3.1,0.4428571428571428,5.7,-1.352857142857143
add,1.03375,0.0,1.2,0.6,2.4,-1.03375
adherence,1.2684659090909092,0.09090909090909091,3.4545454545454546,0.4318181818181818,5.454545454545454,-1.2684659090909092
admit,1.4250520833333333,0.0,1.5,0.3,5.1,-1.4250520833333333
adopt,0.91875,0.2,2.7,0.54,3.1,-0.91875
advise,0.9260416666666667,0.0,2.1,0.35,4.2,-0.9260416666666667
afford,0.38357142857142856,0.5,4.1,0.82,1.4,-0.38357142857142856
afraid,0.5028409090909091,0.5454545454545454,4.363636363636363,0.7272727272727273,1.8181818181818181,-0.5028409090909091
after,1.2430357142857145,0.1,1.9,0.38,3.7,-1.2430357142857145
afternoon,1.0152901785714286,0.3,4.5,0.5625,4.2,-1.0152901785714286
again,0.8713541666666668,0.4,2.8,0.7,2.6,-0.8713541666666668
ago,1.0004734848484846,0.18181818181818182,2.4545454545454546,0.6136363636363636,2.4545454545454546,-1.0004734848484846
