Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
CD,1.282570084485407,0.0,1.5483870967741935,0.3870967741935484,3.838709677419355,-1.282570084485407
T-shirt,0.7990758145363409,0.05263157894736842,4.684210526315789,0.669172932330827,3.736842105263158,-0.7990758145363409
able,1.030654761904762,0.2,2.5,0.5,3.5,-1.030654761904762
absolutely,0.7949305555555555,0.4,5.8,0.6444444444444445,4.4,-0.7949305555555555
abuse,0.8165787337662337,0.2727272727272727,3.4545454545454546,0.6909090909090909,2.8181818181818183,-0.8165787337662337
acacia,1.5539772727272727,0.0,2.0,0.3333333333333333,5.818181818181818,-1.5539772727272727
access,0.9206547619047619,0.2,3.3,0.6599999999999999,4.1,-0.9206547619047619
accidentally,1.1806818181818182,0.0,4.7,0.42727272727272725,8.0,-1.1806818181818182
accord,1.456845238095238,0.0,1.9,0.38,4.4,-1.456845238095238
accordion,1.5333059210526316,0.0,2.4210526315789473,0.3026315789473684,6.473684210526316,-1.5333059210526316
acid,1.4341071428571428,0.0,1.5,0.375,4.4,-1.4341071428571428
acorn,1.7186673280423281,0.0,1.2777777777777777,0.21296296296296297,5.722222222222222,-1.7186673280423281
acoustic,1.24624281968032,0.09090909090909091,4.090909090909091,0.5844155844155844,5.454545454545454,-1.24624281968032
acquire,1.0708333333333333,0.0,3.85,0.5499999999999999,3.25,-1.0708333333333333
across,0.5875,0.2,3.4,0.6799999999999999,1.8,-0.5875
actually,1.27890625,0.15,4.45,0.445,6.45,-1.27890625
acupuncture,1.6143750000000001,0.1,4.6,0.35384615384615387,10.0,-1.6143750000000001
adaption,0.9420657467532467,0.09090909090909091,4.2727272727272725,0.6103896103896104,5.181818181818182,-0.9420657467532467
adaptive,1.352857142857143,0.1,3.1,0.4428571428571428,5.7,-1.352857142857143
add,1.03375,0.0,1.2,0.6,2.4,-1.03375
adherence,1.2684659090909092,0.09090909090909091,3.4545454545454546,0.4318181818181818,5.454545454545454,-1.2684659090909092
admit,1.4250520833333333,0.0,1.5,0.3,5.1,-1.4250520833333333
adopt,0.91875,0.2,2.7,0.54,3.1,-0.91875
advise,0.9260416666666667,0.0,2.1,0.35,4.2,-0.9260416666666667
afford,0.38357142857142856,0.5,4.1,0.82,1.4,-0.38357142857142856
afraid,0.5028409090909091,0.5454545454545454,4.363636363636363,0.7272727272727273,1.8181818181818181,-0.5028409090909091
after,1.2430357142857145,0.1,1.9,0.38,3.7,-1.2430357142857145
afternoon,1.0152901785714286,0.3,4.5,0.5625,4.2,-1.0152901785714286
again,0.8713541666666668,0.4,2.8,0.7,2.6,-0.8713541666666668
against,1.3114583333333332,0.1,2.5,0.4166666666666667,5.3,-1.3114583333333332
ago,0.8407242063492064,0.14285714285714285,2.619047619047619,0.6547619047619048,2.0,-0.8407242063492064
air,0.990625,0.2,1.0,0.5,2.1,-0.990625
airflow,0.7763392857142857,0.5,4.0,0.6666666666666667,2.7,-0.7763392857142857
airplane,1.2049107142857143,0.25,3.35,0.47857142857142854,4.5,-1.2049107142857143
airport,0.9308449074074076,0.2777777777777778,3.6666666666666665,0.6111111111111112,3.4444444444444446,-0.9308449074074076
airtight,1.4694940476190477,0.0,2.2,0.36666666666666664,5.5,-1.4694940476190477
alcohol,1.6153769841269838,0.0,3.7,0.5285714285714286,6.0,-1.6153769841269838
algebra,1.5064484126984128,0.1,2.7,0.3,7.2,-1.5064484126984128
alien,1.4457093253968254,0.1,2.1,0.35,4.7,-1.4457093253968254
alive,0.21839285714285714,0.8,4.4,0.8800000000000001,0.8,-0.21839285714285714
all,0.9429166666666667,0.1,1.5,0.75,1.8,-0.9429166666666667
alligator,1.1487351190476192,0.19047619047619047,4.190476190476191,0.46560846560846564,5.761904761904762,-1.1487351190476192
allow,0.303125,0.7,3.6,0.9,0.6,-0.303125
alone,0.72,0.0,3.7,0.74,2.0,-0.72
along,1.3118750000000001,0.1,1.9,0.475,3.1,-1.3118750000000001
alpha,0.8549107142857143,0.3333333333333333,2.25,0.5625,3.0833333333333335,-0.8549107142857143
already,0.9760416666666666,0.2,2.9,0.4833333333333333,3.3,-0.9760416666666666
alright,0.4109375,0.6,4.9,0.8166666666666667,1.5,-0.4109375
also,1.185,0.2,2.9,0.58,3.5,-1.185
alter,1.4125496031746032,0.0,1.8333333333333333,0.3666666666666667,4.916666666666667,-1.4125496031746032
always,0.5421875,0.4,3.85,0.6416666666666667,2.3,-0.5421875
amateur,0.9775,0.2,3.7,0.6166666666666667,4.1,-0.9775
ambulance,1.0461805555555554,0.25,4.8,0.5333333333333333,5.55,-1.0461805555555554
