Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI,std_viseme_score_avg,std_phonetic_score_avg,vips_score,phonological_distance_avg,mafi_score_avg,word_error_rate_avg,character_error_rate_avg,word_similarity_avg,meteor_score_avg,rouge1_score_avg,rouge2_score_avg,rougeL_score_avg,sentence_bleu_score_avg,bertscore_precision_avg,bertscore_recall_avg,bertscore_f1_avg,semantic_similarity_avg,semantic_wer_avg
CD,1.28257008448541,0,1.54838709677419,0.387096774193548,3.83870967741936,-1.28257008448541,0.38010752688172,0.663127240143369,0.836412422374897,1.5673099078341,-1.5673099078341,1,2.7741935483871,0,0,0,0,0,0,0.938362388841568,0.964218406907974,0.950378289145808,0.221663745180253,0.778336254819747
T-shirt,0.799075814536341,0.0526315789473684,4.68421052631579,0.669172932330827,3.73684210526316,-0.799075814536341,0.514035087719298,0.789181286549708,0.860209047761751,0.977631578947368,-0.977631578947368,1,0.751879699248121,0.392057065741276,0.0526315789473684,0.105263157894737,0.105263157894737,0.105263157894737,0,0.894990161845559,0.882488950302726,0.888077773545918,0.363288923313743,0.636711076686257
able,1.03065476190476,0.2,2.5,0.5,3.5,-1.03065476190476,0.583333333333333,0.725,0.80490552779865,0.837797619047619,-0.837797619047619,0.8,0.825,0.526666666666667,0.1,0.2,0,0.2,0.0355655882007785,0.998514229059219,0.998514229059219,0.998514229059219,0.414517582952976,0.585482417047024
absolutely,0.794930555555556,0.4,5.8,0.644444444444445,4.4,-0.794930555555556,0.651111111111111,0.749722222222222,0.845848004685471,0.782986111111111,-0.782986111111111,0.7,0.45,0.664293085655315,0.2,0.4,0,0.4,0.0711311764015569,0.910616230964661,0.948614799976349,0.928419405221939,0.545338593423367,0.454661406576633
abuse,0.816578733766234,0.272727272727273,3.45454545454545,0.690909090909091,2.81818181818182,-0.816578733766234,0.725974025974026,0.788135822510823,0.858420361846143,0.808441558441558,-0.808441558441558,0.727272727272727,0.527272727272727,0.693367238821784,0.136363636363636,0.272727272727273,0,0.272727272727273,0.0484985293646979,0.85392211784016,0.916401711377231,0.882702919569882,0.440966400233182,0.559033599766818
acacia,1.55397727272727,0,2,0.333333333333333,5.81818181818182,-1.55397727272727,0.255411255411255,0.582683982683983,0.749378105765178,1.59347943722944,-1.59347943722944,1.09090909090909,0.954545454545455,0.203821431094158,0,0,0,0,0,0.899659579450434,0.769926737655293,0.829344115474007,0.130963062020865,0.869036937979135
access,0.920654761904762,0.2,3.3,0.66,4.1,-0.920654761904762,0.437460317460317,0.672599206349206,0.766835414833052,1.01454365079365,-1.01454365079365,0.9,0.766666666666667,0.513864468864469,0.1,0.2,0,0.2,0.0355655882007785,0.924397963285446,0.965705370903015,0.943789541721344,0.421279145777225,0.578720854222775
accidentally,1.18068181818182,0,4.7,0.427272727272727,8,-1.18068181818182,0.363636363636364,0.541287878787879,0.598717205981411,1.15965909090909,-1.15965909090909,1.1,0.658333333333333,0.419868432221373,0,0,0,0,0,0.933543962240219,0.965341693162918,0.94839072227478,0.355848394334316,0.644151605665684
accord,1.45684523809524,0,1.9,0.38,4.4,-1.45684523809524,0.210952380952381,0.553095238095238,0.711348949198374,1.57669642857143,-1.57669642857143,1,0.866666666666667,0.379114219114219,0,0,0,0,0,0.910761964321136,0.958094823360443,0.932650369405746,0.246157638728619,0.753842361271381
accordion,1.53330592105263,0,2.42105263157895,0.302631578947368,6.47368421052632,-1.53330592105263,0.285714285714286,0.506892230576441,0.629098001079905,1.51521381578947,-1.51521381578947,1,0.807017543859649,0.291019970741333,0,0,0,0,0,0.889915833347722,0.797273610767565,0.840085826422039,0.134429018748434,0.865570981251566
